,ant,frame,video,colony,date,t,x,y
270,4,15438,1,1,1/11/17,20:12:18,1316,752
271,4,15439,1,1,1/11/17,20:12:18,1324,752
272,4,15440,1,1,1/11/17,20:12:18,1268,752
273,4,15441,1,1,1/11/17,20:12:18,1196,748
274,4,15442,1,1,1/11/17,20:12:18,1168,760
275,4,15443,1,1,1/11/17,20:12:18,1140,760
276,4,15444,1,1,1/11/17,20:12:18,1108,784
277,4,15445,1,1,1/11/17,20:12:18,1088,808
278,4,15446,1,1,1/11/17,20:12:18,1052,840
279,4,15447,1,1,1/11/17,20:12:18,1012,848
280,4,15448,1,1,1/11/17,20:12:18,980,872
281,4,15449,1,1,1/11/17,20:12:18,944,892
282,4,15450,1,1,1/11/17,20:12:18,892,912
283,4,15451,1,1,1/11/17,20:12:19,868,928
284,4,15452,1,1,1/11/17,20:12:19,836,952
285,4,15453,1,1,1/11/17,20:12:19,788,952
286,4,15454,1,1,1/11/17,20:12:19,772,948
287,4,15455,1,1,1/11/17,20:12:19,772,952
288,4,15456,1,1,1/11/17,20:12:19,744,952
289,4,15457,1,1,1/11/17,20:12:19,740,968
290,4,15458,1,1,1/11/17,20:12:19,724,972
291,4,15459,1,1,1/11/17,20:12:19,720,968
292,4,15460,1,1,1/11/17,20:12:19,720,968
293,4,15461,1,1,1/11/17,20:12:19,716,968
294,4,15462,1,1,1/11/17,20:12:19,696,968
295,4,15463,1,1,1/11/17,20:12:19,656,940
296,4,15464,1,1,1/11/17,20:12:19,616,912
297,4,15465,1,1,1/11/17,20:12:19,620,912
298,4,15466,1,1,1/11/17,20:12:19,620,912
299,4,15467,1,1,1/11/17,20:12:19,764,868
300,4,15468,1,1,1/11/17,20:12:19,760,864
301,4,15469,1,1,1/11/17,20:12:19,752,856
302,4,15470,1,1,1/11/17,20:12:19,744,856
303,4,15471,1,1,1/11/17,20:12:19,748,852
304,4,15472,1,1,1/11/17,20:12:19,744,848
305,4,15473,1,1,1/11/17,20:12:19,740,844
306,4,15474,1,1,1/11/17,20:12:19,776,872
307,6,15438,1,1,1/11/17,20:12:18,1868,712
308,6,15439,1,1,1/11/17,20:12:18,1836,708
309,6,15440,1,1,1/11/17,20:12:18,1804,708
310,6,15441,1,1,1/11/17,20:12:18,1764,704
311,6,15442,1,1,1/11/17,20:12:18,1740,704
312,6,15443,1,1,1/11/17,20:12:18,1700,704
313,6,15444,1,1,1/11/17,20:12:18,1684,712
314,6,15445,1,1,1/11/17,20:12:18,1632,704
315,6,15446,1,1,1/11/17,20:12:18,1600,708
316,6,15447,1,1,1/11/17,20:12:18,1572,712
317,6,15448,1,1,1/11/17,20:12:18,1544,712
318,6,15449,1,1,1/11/17,20:12:18,1508,712
319,6,15450,1,1,1/11/17,20:12:18,1484,700
320,6,15451,1,1,1/11/17,20:12:19,1468,700
321,6,15452,1,1,1/11/17,20:12:19,1444,696
322,6,15453,1,1,1/11/17,20:12:19,1412,696
323,6,15454,1,1,1/11/17,20:12:19,1392,696
324,6,15455,1,1,1/11/17,20:12:19,1364,696
325,6,15456,1,1,1/11/17,20:12:19,1340,704
326,6,15457,1,1,1/11/17,20:12:19,1292,704
327,6,15458,1,1,1/11/17,20:12:19,1268,720
328,6,15459,1,1,1/11/17,20:12:19,1236,728
329,6,15460,1,1,1/11/17,20:12:19,1212,736
330,6,15461,1,1,1/11/17,20:12:19,1212,736
331,6,15462,1,1,1/11/17,20:12:19,1212,736
332,6,15463,1,1,1/11/17,20:12:19,1204,740
333,6,15464,1,1,1/11/17,20:12:19,1196,744
334,6,15465,1,1,1/11/17,20:12:19,1160,752
335,6,15466,1,1,1/11/17,20:12:19,1144,760
336,6,15467,1,1,1/11/17,20:12:19,1140,760
337,6,15468,1,1,1/11/17,20:12:19,1132,756
